index,Importance of being seen as masculine,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men have more support from their managers,None of the Above,Other
1163,1,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1164,3,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1166,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1171,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1173,4,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1174,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1180,4,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Other (please specify)
1182,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1183,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1184,1,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1185,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1187,4,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1189,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1190,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1191,2,Not selected,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1192,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1195,3,Not selected,Not selected,Men have more choice,Not selected,Men are explicitly praised more often,Not selected,Not selected,Not selected
1196,3,Men make more money,Not selected,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1197,2,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1198,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1199,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1200,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1201,1,Men make more money,Men are taken more seriously,Not selected,Not selected,Men are explicitly praised more often,Not selected,Not selected,Not selected
1202,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1203,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1204,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1208,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1209,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1211,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1212,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1215,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1217,1,Not selected,Men are taken more seriously,Men have more choice,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
1218,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1219,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1222,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
1223,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1224,4,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1225,4,Not selected,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1228,3,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1230,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1231,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1232,1,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
1234,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1235,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1237,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1238,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1239,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1240,3,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1241,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1243,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1244,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1245,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1246,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1247,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1249,2,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
1250,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1251,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1252,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1253,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1254,3,Not selected,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1255,3,Not selected,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
1256,1,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1257,3,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Not selected,Not selected,Not selected
1258,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1260,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1261,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1262,4,Not selected,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
1263,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1264,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1265,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1266,4,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1268,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1269,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1270,1,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1271,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1272,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1273,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1274,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
1275,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1276,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1277,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1278,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1279,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1280,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1282,3,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1283,4,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Not selected,Not selected,Not selected
1284,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1285,4,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1287,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1288,0,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1289,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1290,3,Not selected,Men are taken more seriously,Not selected,Not selected,Men are explicitly praised more often,Not selected,Not selected,Not selected
1291,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1293,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1294,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1295,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1297,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1299,2,Not selected,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1300,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1301,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1302,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1304,3,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1305,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1306,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1307,2,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1308,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1309,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1310,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
1312,4,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1314,4,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1315,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1316,2,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1317,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1318,2,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1319,3,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1320,1,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1321,2,Not selected,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
1325,2,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1326,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1327,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1328,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1329,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1331,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1332,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1334,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1336,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1337,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1338,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1340,2,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1341,3,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1343,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1348,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1350,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1351,3,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1352,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1353,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1354,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1355,2,Not selected,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1356,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1357,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1358,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1359,3,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1361,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1362,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1363,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1365,3,Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Not selected,Not selected,Not selected
1367,1,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1368,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1369,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1370,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1372,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1373,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1375,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1376,2,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1378,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1379,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1382,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1383,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1385,3,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1386,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1387,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1388,4,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1390,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1391,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1392,2,Not selected,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1393,3,Men make more money,Men are taken more seriously,Not selected,Not selected,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1394,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1395,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1396,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1397,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1398,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1399,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1400,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
1404,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1405,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1407,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1408,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1410,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1412,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1414,3,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
1415,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1416,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1417,1,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1418,2,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1419,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1421,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1422,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1423,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1424,1,Men make more money,Not selected,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
1425,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1426,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1427,1,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1428,4,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1431,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1432,4,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1433,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1434,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1436,4,Not selected,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1437,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1441,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1442,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1443,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1446,1,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1447,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1449,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1451,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1452,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1453,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1454,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1455,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1458,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1459,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1460,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
1461,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1462,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1464,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1465,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1466,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
1467,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1468,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1469,3,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1470,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1471,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1474,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1475,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1476,4,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1477,3,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1478,3,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1479,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1480,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1481,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1482,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1483,4,Not selected,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
1484,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1486,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1489,3,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1493,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1494,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1495,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1496,1,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1498,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1500,3,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1501,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1502,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1503,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1506,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1507,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1508,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1512,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1513,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1514,3,Not selected,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1515,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1516,3,Men make more money,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1517,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1519,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1520,4,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1521,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1525,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1529,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1530,1,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
1535,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1536,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1537,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1539,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1542,1,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1544,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1545,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1546,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1547,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1552,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1553,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1554,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1555,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1556,2,Not selected,Men are taken more seriously,Not selected,Not selected,Men are explicitly praised more often,Not selected,Not selected,Not selected
1557,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1558,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1559,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
